prod_id,prod_name,site,review_title,customer_review,customer_rating
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Terrible product,It is poor quality i ordered Orange but the product is brown colour and the cloth is very light very bad waste for money you just go for best product don't buy this shirt...,4.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Super!,Good,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Best in the market!,Just wow 👌,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Just wow!,Value for money product 👌,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Delightful,Amezing,4.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Fair,good quality 👍👍,3.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Great product,Superb Quality and fabric,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Fabulous!,According to  price just looking wow 😲,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Terrific,Not bad,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Wonderful,Awesome shirt,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Mind-blowing purchase,Good 👍,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Does the job,"Color mismatch, except all good",3.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Must buy!,You can buy if you u want to use sometimes,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Don't waste your money,Pls do not purchase it's one time washing shirt is fully damaged.,1.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Worth the money,Wonderful 🤩🤍👍,4.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Highly recommended,Product is best,5.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Bad quality,Size is very small,2.0
SHTHF5K9GCGW3SDM,Anp Biharika Men Checkered Casual Green Shirt,flipkart,Decent product,Waste,3.0
