prod_id,prod_name,site,review_title,customer_review,customer_rating
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,"Happy with the purchase 
Good quality product and working well",5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Good 👌👌,4.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Good Product 👍,5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Too good but no Horn 📯 other wise we are happy 😊,5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Amazing product 👌....just go for it,5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Supper a good q,5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,"Happy with the purchase 
Working well and looks good",5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Music was not audible. Other than that product is ok,2.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Not working properly don't buy,1.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,,Train is not working at,1.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Worth every penny,"Very good product 
Thank you 
Flipkart😊",5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Decent product,Not bad,3.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Perfect product!,Nice one,5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Worth every penny,"Very good product 
Thank you 
Flipkart😊",5.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Decent product,Not bad,3.0
RCTH8Z8J24CQSMWK,Baba Fab Thomas Train Adventure Set Battery Operated Toy Lights Sound Tracks,flipkart,Perfect product!,Nice one,5.0
