prod_id,prod_name,site,review_title,customer_review,customer_rating
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Battery backup low and sound was good,4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Battery pick up not good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,"It is good . And the sound quality is also preety good . According to the price , amazing product 👍😁",4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,All Points are ok but battery Backup Very low,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Hi no good,4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Very good product 👍👍,5.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Sound is good bes unlikely battery is very unlikely and produced is not good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Good,4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Nice quality but not satisfaction for me,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,,Sound quality is not good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Good but 1 way connect only,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Wonderful,Value of Money 💰 good quality product thanks Flipkart,4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Value-for-money,Good,4.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Great product,"The Sound quality is good, and the product is also good.",5.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Good 👍,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,Good for price but calls are disconnected shortly,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,Not bad,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,Good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Nice,According to the price is better product but battery is ok ok in this price 😏,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,It's very nice product I love it..🥰,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,It make more better,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Nice and cunnect phone   battery low,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Nice,Battery saver is not good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,Good 👍,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,"Good luck with your project and keep us posted if anything changes please feel better about your journey 
.",3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Ok,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,Nice,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,Long users not use,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Nice,Average.,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Just okay,Very good,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,Product made in china dnt know how many days it will work.. over all  money worth okay,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Nice 👍,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,"It's a good product 
I will rate this product is 3/5",3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Both are working,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Good product but battery backup low,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Ok,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Does the job,Best all but off button repeat 🔁 set,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Very nice product 🚫❤️❣️🥰,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Ok,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,This product worth this money 😄,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,Ok,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Nice,"Nice product with worth for money ,but only drawback is battery capacity and connection problem . It is so many times to connect",3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Just okay,Okay 👍,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Nice,But okay,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Decent product,Okay,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Just okay,Product best but volume,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Good,Avarage,3.0
ACCHBRYWFRZGDNDA,Bullstorm Bs Ultrapood Bluetooth Gaming,flipkart,Fair,Nice 👍,3.0
