prod_id,prod_name,site,review_title,customer_review,customer_rating
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Mind-blowing purchase,Your product is very good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worth every penny,Nyc,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Simply awesome,Must buy,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Nice product,good product,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worth the money,Nyc,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worth the money,Good baby toy,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Nice product,Good,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Wonderful,Nyc,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Good choice,Good,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Really Nice,Super,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Pretty good,Fine,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Mind-blowing purchase,My baby just loved this product thnku flipkart,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Fabulous!,Good product,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Excellent,Musy buy,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Does the job,Quality is not too good,3.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Decent product,Okay product,3.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Just okay,Not bad,3.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Delightful,Worth the price. It's good as long as it isn't compared with expensive versions.,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Mind-blowing purchase,Really wonderful,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Excellent,Good product for kids,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Awesome,Just like wow,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific purchase,Very good train,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific,Good product,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Must buy!,Nice,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Classy product,Good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Great product,"Amazing product
Good quality 
Worth buying",5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Super!,Best,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Super!,Good 👍,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Wonderful,Very good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Excellent,Good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific purchase,Good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Simply awesome,Very superb train amazing😍👍👍,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Must buy!,Quality is good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Simply awesome,It's good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific purchase,"Good product in best price...
Thanks flipkart😍😍😍",5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Just wow!,Good product,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Simply awesome,Good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Great product,Good,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific purchase,It's looks great work amazing for now,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Mind-blowing purchase,Super .....,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Best in the market!,Good 👍🏻,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Super!,Super my son love it,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Perfect product!,very good product,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Just wow!,Nice product 👌,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Best in the market!,"I am thoroughly impressed with the product😍😍! It is of excellent quality, and my child loves playing with it. The design is vibrant and engaging. The material is safe and durable, which gives me pea...",5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worth every penny,Super 👍,5.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Wonderful,Very Excited 😊 My Boy,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Good choice,Very Nice,4.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worst experience ever!,"Bad product ever, don't buy .",1.0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Slightly disappointed,Worked for only one day,2.0
