prod_id,prod_name,site,review_title,customer_review,customer_rating
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Very Good,Product was awesome but please add catalog or installation video,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Wonderful,"Very good cycle , 5 star for its safety  ,
I liked it very much.............
But the issue is , the trycyle comes in various parts, and it is very tough to assemble it, plsss provide a manual guide bo...",4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Very Good,"This product is very good 👍..
Thanks Flipkart",4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Classy product,Good,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Terrific purchase,Thanks flipkart for giving me such a beautiful product... My son love it...,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Wonderful,It is nice,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Just okay,"I ordered Toyshoppee brand tri cycle , but received doggee moggee brand . Which is cheaper than the product I paid for . Itis not expected from Flipkart . Totally cheating . I am discerticfied .",3.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Highly recommended,Lovely tricycle..... Go for it.....,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Terrific purchase,Very Nice cycle...,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Terrific,Nice,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Just okay,Not a value for money product nuts are very lose and handle is not working properly,3.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Good quality product,Quality is decent but do not expect high quality. I think in terms of price little quality can be compromised. For me it's good enough for a 18 month old child and seems very good strength. Easy to in...,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Really Nice,Super product,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Classy product,Good under 1800,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Highly recommended,I like this product,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Best in the market!,Thank you for this great tricycle.. it's tires are soft and has balanced ride.. the parental control is amazing you can just turn by holding the control.. the harness helps the child from falling my 1...,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Best in the market!,Super quality,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Pretty good,🙂 nice,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Good choice,Good 👍,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Wonderful,Good,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Excellent my lil one felt blissful,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Nice,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,"The standard of quality is ok but, Need to improve the handle quality.",3.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Very nice product. Worthfull,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,"Good products,, build quality is a good for this price segment..",5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Excellent,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Very good 👍,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Best product for 1 to 4 year baby,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Good product,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,,Nice one best quality,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Fabulous!,Product good as expected,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Nice product,Ok ok,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Classy product,Very nice product. Go for it.,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Perfect product!,Good,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Classy product,Nice,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Mind-blowing purchase,Very good,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Just wow!,Over all as expected i,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Worth every penny,Nice,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Unsatisfactory,Do not buy this product. It's very useless quality.broken this for 11 month child weight,1.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Must buy!,Must buy,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Perfect product!,Usefull product. Quality also good.,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Value-for-money,Good,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Perfect product!,I bought this cycle for my 10 months old baby n he love the cycle..nice color n material is also nice.just go for it without any hesitation,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Best in the market!,Tricycle found good as per Price,5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Nice product,Baby cycle ta khub halka boroder dharar bandal ta valona....,4.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Did not meet expectations,Very bad quality material,1.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Great product,"The quality of the cycle is good, but it took 2 hours to assemble it. Please provide assembly instructions along with the cycle.",5.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Did not meet expectations,Bad,1.0
TTCGBD9A5GAEQH2G,Toyshoppee Parental Push Handle Baby Tricycle Suitable 1 5 Years Kids,flipkart,Awesome,Love it,5.0
